MITT^A,AG Mortgage Investment Trust, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,AG Mortgage Investment Trust, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
A,Agilent Technologies, Inc.,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AL,Air Lease Corporation,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
APD,Air Products and Chemicals, Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
ALP^Q,Alabama Power Company,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALG,Alamo Group, Inc.,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
ALK,Alaska Air Group, Inc.,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
ALEX,Alexander & Baldwin, Inc.,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
ALX,Alexander&#39;s, Inc.,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
ARE,Alexandria Real Estate Equities, Inc.,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ARE^D,Alexandria Real Estate Equities, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/are^d
AQN,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
ALE,Allete, Inc.,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,n/a,n/a,https://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a,https://www.nasdaq.com/symbol/afb
AOI,Alliance One International, Inc.,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,n/a,n/a,https://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,n/a,n/a,https://www.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,n/a,n/a,https://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,n/a,n/a,https://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a,https://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,n/a,n/a,https://www.nasdaq.com/symbol/nie
NFJ,AllianzGI NFJ Dividend, Interest & Premium Strategy Fund,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj
ALSN,Allison Transmission Holdings, Inc.,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),n/a,n/a,https://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),n/a,n/a,https://www.nasdaq.com/symbol/all^b
ALL^C,Allstate Corporation (The),n/a,n/a,https://www.nasdaq.com/symbol/all^c
ALL^D,Allstate Corporation (The),n/a,n/a,https://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),n/a,n/a,https://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),n/a,n/a,https://www.nasdaq.com/symbol/all^f
ALLY,Ally Financial Inc.,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,n/a,n/a,https://www.nasdaq.com/symbol/ally^a
AGD,Alpine Global Dynamic Dividend Fund,n/a,n/a,https://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,n/a,n/a,https://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,n/a,n/a,https://www.nasdaq.com/symbol/aod
AYX,Alteryx, Inc.,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx
ATUS,Altice USA, Inc.,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
AMBR,Amber Road, Inc.,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
AMC,AMC Entertainment Holdings, Inc.,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc
AEE,Ameren Corporation,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AMRC,Ameresco, Inc.,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc
AMOV,America Movil, S.A.B. de C.V.,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AMX,America Movil, S.A.B. de C.V.,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx
AAT,American Assets Trust, Inc.,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
AXL,American Axle & Manufacturing Holdings, Inc.,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc
AEO,American Eagle Outfitters, Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo
AEP,American Electric Power Company, Inc.,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael
AXP,American Express Company,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp
AFG,American Financial Group, Inc.,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg
AFGE,American Financial Group, Inc.,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
AFGH,American Financial Group, Inc.,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh
AMH^C,American Homes 4 Rent,n/a,n/a,https://www.nasdaq.com/symbol/amh^c
AMH^D,American Homes 4 Rent,n/a,n/a,https://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,n/a,n/a,https://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,n/a,n/a,https://www.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,n/a,n/a,https://www.nasdaq.com/symbol/amh^g
AIG,American International Group, Inc.,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
AIG.WS,American International Group, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws
AMID,American Midstream Partners, LP,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid
ARL,American Realty Investors, Inc.,Finance,Real Estate,https://www.nasdaq.com/symbol/arl
ARA,American Renal Associates Holdings, Inc,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara
AWR,American States Water Company,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd
AWK,American Water Works,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
COLD,Americold Realty Trust,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold
APU,AmeriGas Partners, L.P.,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu
AMP,AMERIPRISE FINANCIAL SERVICES, INC.,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,Technology,Professional Services,https://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr
AME,AMTEK, Inc.,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
AFSI^A,AmTrust Financial Services, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a
AFSI^B,AmTrust Financial Services, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b
AFSI^C,AmTrust Financial Services, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c
AFSI^D,AmTrust Financial Services, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d
AFSI^E,AmTrust Financial Services, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e
AFSI^F,AmTrust Financial Services, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f
AFSS,AmTrust Financial Services, Inc.,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss
AFST,AmTrust Financial Services, Inc.,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc
ANDV,Andeavor,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/andv
ANDX,Andeavor Logistics LP,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly
